ID,Provincia,Latitud,Longitud,Localidad,SitioCodigo,Area_(m2),Taxa,Especie,EspecieCodigo,Talla_(cm),Abundancia,Densidad_(org/m2)
44,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,27,0.54
45,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Polychaeta,Spirobranchus sp,SPI_SP,5,2,0.04
46,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Hexacorallia,Pocillopora sp,POC_SP,5,1,0.02
47,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Cirripedia,Balanus sp,BAL_SP,5,100,2
48,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus nux,CON_NUX,5,12,0.24
49,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Lobatus galeatus,LOB_GAL,10,3,0.06
50,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Lobatus galeatus,LOB_GAL,5,1,0.02
51,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,30,8,0.16
52,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Muricea fruticosa,MUR_FRU,15,6,0.12
53,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,15,3,0.06
54,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,5,1,0.02
55,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinna rugosa,PIN_RUG,5,1,0.02
56,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Triplofusus princeps,TRI_PRI,5,15,0.3
57,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Triplofusus princeps,TRI_PRI,10,4,0.08
58,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,30,0.6
59,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Polychaeta,Spirobranchus sp,SPI_SP,5,21,0.42
60,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Lobatus galeatus,LOB_GAL,15,2,0.04
61,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,5,0.1
62,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,15,1,0.02
63,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,20,3,0.06
64,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Cirripedia,Balanus sp,BAL_SP,5,100,2
65,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Conus nux,CON_NUX,5,10,0.2
66,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,10,40,0.8
67,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Polychaeta,Spirobranchus sp,SPI_SP,5,30,0.6
68,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Acanthais brevidentata,ACA_BRE,5,5,0.1
69,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Fissurella virescens,FIS_VIR,5,8,0.16
70,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Nerita funiculata,NER_FUN,5,20,0.4
71,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Nerita scabricosta,NER_SCA,5,10,0.2
72,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Vasula melones,VAS_MEL,5,3,0.06
73,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,10,5,0.1
74,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,4,0.08
75,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,5,0.1
76,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,5,2,0.04
77,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,10,1,0.02
78,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,2,0.04
79,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,1,0.02
80,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,1,0.02
81,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,5,2,0.04
82,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,5,2,0.04
83,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Decapoda,Enoplometopidae sp,ENO_SP,20,1,0.02
84,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,15,2,0.04
85,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,10,2,0.04
86,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,10,2,0.04
87,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Mytilidae sp,MYT_SP,5,2,0.04
88,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,10,3,0.06
89,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Paguroidea,Paguroidea sp,PAG_SP,5,3,0.06
90,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Paguroidea,Paguroidea sp,PAG_SP,5,5,0.1
91,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,51,1.02
92,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,2,0.04
93,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,5,0.1
94,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,1,0.02
95,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,1,0.02
96,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,5,1,0.02
97,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,10,1,0.02
98,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Echinoidea,Diadema mexicanum,DIA_MEX,5,1,0.02
99,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Fissurella virescens,FIS_VIR,5,15,0.3
100,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,5,1,0.02
101,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,10,1,0.02
102,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,10,2,0.04
103,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,10,2,0.04
104,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,5,1,0.02
105,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,10,3,0.06
106,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Mytilidae sp,MYT_SP,5,1,0.02
107,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Mytilidae sp,MYT_SP,10,1,0.02
108,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Mytilidae sp,MYT_SP,5,3,0.06
109,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Opeatostoma pseudodon,OPE_PSE,5,3,0.06
110,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,5,2,0.04
111,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,10,3,0.06
112,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Bivalvia,Pinna rugosa,PIN_RUG,15,1,0.02
113,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,27,0.54
114,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,16,0.32
115,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Polychaeta,Spirobranchus sp,SPI_SP,5,2,0.04
116,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Polychaeta,Spirobranchus sp,SPI_SP,5,9,0.18
117,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Vasula melones,VAS_MEL,5,4,0.08
118,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,3,0.06
119,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Echinoidea,Diadema mexicanum,DIA_MEX,5,1,0.02
120,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Holothuroidea,Holothuria impatiens,HOL_IMP,5,1,0.02
121,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Bivalvia,Mytilidae sp,MYT_SP,5,2,0.04
122,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Bivalvia,Pinna rugosa,PIN_RUG,20,1,0.02
123,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,19,0.38
124,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Polychaeta,Spirobranchus sp,SPI_SP,5,7,0.14
125,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Vasula melones,VAS_MEL,5,4,0.08
126,Puntarenas,9.81637,-84.87696,LANGOSTA,L_PC,100,Gastropoda,Vasula melones,VAS_MEL,5,9,0.18
127,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Cirripedia,Balanus sp,BAL_SP,5,3,0.06
128,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,2,0.04
129,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,2,0.04
130,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,10,2,0.04
131,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,10,4,0.08
132,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,30,0.6
133,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,15,3,0.06
134,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,20,3,0.06
135,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,10,1,0.02
136,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,15,1,0.02
137,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,2,0.04
138,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Opeatostoma pseudodon,OPE_PSE,5,1,0.02
139,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Crustacea,Percnon planissimum,PER_PLA,5,1,0.02
140,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,4,0.08
141,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Polychaeta,Spirobranchus sp,SPI_SP,5,1,0.02
142,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Conus purpurascens,CON_PUR,5,2,0.04
143,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,5,1,0.02
144,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Demospongiae,Demospongiae sp,DEM_SP,10,1,0.02
145,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Gastropoda,Hexaplex princeps,HEX_PRI,15,2,0.04
146,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,15,3,0.06
147,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,10,2,0.04
148,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Leptogorgia alba,LEP_ALB,5,3,0.06
149,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,15,12,0.24
150,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,20,2,0.04
151,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,8,0.16
152,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Muricea fruticosa,MUR_FRU,15,4,0.08
153,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,20,3,0.06
154,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Octocorallia,Pacifigorgia sp,PAC_SP,15,5,0.1
155,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,67,1.34
156,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,100,Polychaeta,Spirobranchus sp,SPI_SP,5,13,0.26
157,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Cirripedia,Balanus sp,BAL_SP,5,100,2
158,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Conus nux,CON_NUX,5,2,0.04
159,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Pinctada mazatlanica,PIN_MAZ,5,7,0.14
160,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Pinna rugosa,PIN_RUG,10,1,0.02
161,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Lobatus galeatus,LOB_GAL,10,4,0.08
162,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,1,0.02
163,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Bivalvia,Pinna rugosa,PIN_RUG,5,3,0.06
164,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Gastropoda,Triplofusus princeps,TRI_PRI,5,2,0.04
165,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,10,0.2
166,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Carangidae,Gnathanodon speciosus,GNA_SPE,20,5,0.1
167,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Haemulidae,Haemulon maculicauda,HAE_MAC,15,4,0.08
168,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Pomacentridae,Microspathodon dorsalis,MIC_DOR,25,2,0.04
169,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Pomacentridae,Microspathodon dorsalis,MIC_DOR,30,3,0.06
170,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Pomacentridae,Abudefduf troschelii,ABU_TRO,10,3,0.06
171,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Pomacentridae,Abudefduf concolor,ABU_CON,5,5,0.1
172,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Pomacentridae,Stegastes flavilatus,STE_FLA,10,6,0.12
173,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Pomacentridae,Stegastes flavilatus,STE_FLA,15,8,0.16
174,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Cirrhitidae,Cirrhitus rivulatus,CIR_RIV,15,1,0.02
175,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Serranidae,Epinephelus labriformis,EPI_LAB,15,1,0.02
176,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,100,Serranidae,Epinephelus labriformis,EPI_LAB,20,2,0.04
