Dia,Provincia,Latitud,Longitud,Localidad,SitioCodigo,Profundidad,Transecto,Area_(m2),Phylum,Taxa,Especie,NivelTrofico,Talla_(cm),Abundancia,Densidad_(org/m2)
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacanthidae,Holacanthus passer,Carnivoros,20,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,25,7,0.14
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,10,11,0.22
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,5,17,0.34
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,10,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,20,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,10,4,0.08
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,15,19,0.38
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Pomacentridae,Chromis atrilobata,Planctivoros,10,212,4.24
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Cirrhitidae,Cirrhitus rivulatus,Carnivoros,20,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Serranidae,Epinephelus panamensis,Carnivoros,15,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Serranidae,Epinephelus panamensis,Carnivoros,20,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Serranidae,Epinephelus panamensis,Carnivoros,30,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,15,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Holocentridae,Sargocentron suborbitalis,Carnivoros,15,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Scaridae,Scarus perrico,Herbivoros,30,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,38,0.76
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,40,0.8
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,5,12,0.24
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,10,3,0.06
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,15,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Serranidae,Serranus psittacinus,Carnivoros,10,12,0.24
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Kyphosidae,Kyphosus elegans,Herbivoros,25,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Muraenidae,Echidna nebulosa,Carnivoros,35,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,5,1,50,Chordata,Blenniidae,Ophioblennius steindachneri,Carnivoros,10,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Balistidae,Sufflamen verres,Carnivoros,25,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Lutjanidae,Lutjanus guttatus,Carnivoros,20,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Engraulidae,Anchoa eigenmannia,Planctivoros,5,156,3.12
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Haemulidae,Haemulon maculicauda,Carnivoros,20,21,0.42
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Haemulidae,Haemulon flaviguttatum,Carnivoros,20,5,0.1
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Haemulidae,Anisotremus taeniatus,Carnivoros,20,26,0.52
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Acanthuridae,Prionurus laticlavius,Herbivoros,25,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Chaetodontidae,Johnrandallia nigrirostris,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Chaetodontidae,Chaetodon humeralis,Carnivoros,15,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacanthidae,Holacanthus passer,Carnivoros,20,7,0.14
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,25,18,0.36
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,10,15,0.3
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,20,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,15,18,0.36
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,20,15,0.3
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Pomacentridae,Chromis atrilobata,Planctivoros,10,107,2.14
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Cirrhitidae,Cirrhitus rivulatus,Carnivoros,20,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Cirrhitidae,Cirrhitus rivulatus,Carnivoros,25,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Serranidae,Epinephelus panamensis,Carnivoros,20,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,10,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Holocentridae,Sargocentron suborbitalis,Carnivoros,15,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,32,0.64
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,64,1.28
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,15,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,15,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,20,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,35,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Serranidae,Serranus psittacinus,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Kyphosidae,Kyphosus elegans,Herbivoros,25,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,2,50,Chordata,Muraenidae,Echidna nebulosa,Carnivoros,35,1,0.02
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,30,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,10,115,2.3
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,5,4,0.08
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,10,1,0.02
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,15,15,0.3
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,20,20,0.4
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,6,0.12
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,8,0.16
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,5,1,0.02
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,3,1,50,Chordata,Serranidae,Serranus psittacinus,Carnivoros,10,34,0.68
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Balistidae,Balistes polylepis,Carnivoros,25,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Carangidae,Caranx caballus,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Chaetodontidae,Chaetodon humeralis,Carnivoros,15,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Haemulidae,Haemulon sexfasciatum,Carnivoros,15,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,5,0.1
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,13,0.26
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,15,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Labridae,Halichoeres dispilus,Carnivoros,10,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Tetraodontidae,Canthigaster punctatissima,Carnivoros,5,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Chromis atrilobata,Planctivoros,5,20,0.4
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,20,3,0.06
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,10,8,0.16
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Stegastes acapulcoensis,Herbivoros,5,4,0.08
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Stegastes acapulcoensis,Herbivoros,10,12,0.24
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Stegastes acapulcoensis,Herbivoros,15,14,0.28
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,10,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,15,4,0.08
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Cirrhitidae,Cirrhitus rivulatus,Carnivoros,25,2,0.04
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Serranidae,Alphestes immaculatus,Piscivoros,25,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Tetraodontidae,Arothron hispidus,Carnivoros,30,1,0.02
19-Mar-16,Puntarenas,9.782030,-84.890757,ISLA_TORTUGA,IT_SIN_TURISTAS,4,1,50,Chordata,Engraulidae,Anchoa eigenmannia,Planctivoros,5,100,2
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Haemulidae,Haemulon maculicauda,Carnivoros,20,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,15,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Microspathodon dorsalis,Herbivoros,20,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,15,4,0.08
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,20,6,0.12
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,15,2,0.04
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,5,2,0.04
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,5,1,0.02
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,15,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,30,2,0.04
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Pomacentridae,Stegastes flavilatus,Herbivoros,20,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,25,2,0.04
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,30,3,0.06
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Serranidae,Epinephelus labriformis,Carnivoros,35,4,0.08
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,10,0.2
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,2,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,5,3,0.06
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,2,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,5,14,0.28
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,2,50,Chordata,Pomacentridae,Abudefduf concolor,Herbivoros,10,7,0.14
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,2,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,5,5,0.1
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,2,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,2,0.04
20-Mar-16,Puntarenas,9.816370,-84.876960,LANGOSTA,L_PC,2,2,50,Chordata,Engraulidae,Anchoa eigenmannia,Planctivoros,5,44,0.88
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Balistidae,Balistes polylepis,Carnivoros,20,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Blenniidae,Ophioblennius steindachneri,Carnivoros,10,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Labridae,Thalassoma lucasanum,Carnivoros,10,21,0.42
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Labridae,Bodianus diplotaenia,Carnivoros,15,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Ophichthidae,Myrichthys tigrinus,Carnivoros,35,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Pomacanthidae,Holacanthus passer,Carnivoros,20,12,0.24
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Pomacentridae,Abudefduf troschelii,Herbivoros,10,11,0.22
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Pomacentridae,Chromis atrilobata,Planctivoros,5,32,0.64
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Pomacentridae,Stegastes acapulcoensis,Herbivoros,5,10,0.2
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,1,50,Chordata,Cirrhitidae,Cirrhitus rivulatus,Carnivoros,25,1,0.02
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,2,50,Chordata,Balistidae,Balistes polylepis,Carnivoros,25,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,2,50,Chordata,Balistidae,Sufflamen verres,Carnivoros,25,2,0.04
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,2,50,Chordata,Chaetodontidae,Johnrandallia nigrirostris,Carnivoros,20,4,0.08
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,2,50,Chordata,Haemulidae,Haemulon maculicauda,Carnivoros,15,25,0.5
20-Mar-16,Puntarenas,9.781291,-84.892963,ISLA_TORTUGA,IT_CON_TURISTAS,2,2,50,Chordata,Haemulidae,Haemulon flaviguttatum,Carnivoros,25,3,0.06
